Category: Shopping

Week,Cargo Trousers: (India),gym wear + track pants + sports wear: (India)
2020-12-27,14,27
2021-01-03,14,28
2021-01-10,13,26
2021-01-17,14,28
2021-01-24,14,30
2021-01-31,14,28
2021-02-07,13,27
2021-02-14,12,24
2021-02-21,15,27
2021-02-28,14,27
2021-03-07,14,29
2021-03-14,14,27
2021-03-21,14,29
2021-03-28,17,27
2021-04-04,16,25
2021-04-11,15,22
2021-04-18,13,20
2021-04-25,12,19
2021-05-02,13,21
2021-05-09,13,23
2021-05-16,13,22
2021-05-23,14,24
2021-05-30,16,30
2021-06-06,16,29
2021-06-13,16,29
2021-06-20,15,28
2021-06-27,17,32
2021-07-04,18,33
2021-07-11,17,32
2021-07-18,17,28
2021-07-25,15,27
2021-08-01,16,28
2021-08-08,18,28
2021-08-15,18,27
2021-08-22,17,25
2021-08-29,16,25
2021-09-05,17,25
2021-09-12,17,24
2021-09-19,15,22
2021-09-26,16,25
2021-10-03,17,26
2021-10-10,17,22
2021-10-17,16,27
2021-10-24,17,26
2021-10-31,19,26
2021-11-07,18,26
2021-11-14,17,28
2021-11-21,17,26
2021-11-28,18,25
2021-12-05,16,27
2021-12-12,17,28
2021-12-19,18,28
2021-12-26,16,24
2022-01-02,17,24
2022-01-09,17,24
2022-01-16,14,21
2022-01-23,17,23
2022-01-30,20,24
2022-02-06,20,23
2022-02-13,20,26
2022-02-20,19,26
2022-02-27,22,27
2022-03-06,23,28
2022-03-13,25,27
2022-03-20,24,29
2022-03-27,21,25
2022-04-03,25,29
2022-04-10,28,29
2022-04-17,27,26
2022-04-24,27,26
2022-05-01,26,29
2022-05-08,24,27
2022-05-15,24,28
2022-05-22,26,28
2022-05-29,26,28
2022-06-05,29,29
2022-06-12,28,29
2022-06-19,28,33
2022-06-26,27,28
2022-07-03,30,27
2022-07-10,28,27
2022-07-17,27,26
2022-07-24,29,27
2022-07-31,30,27
2022-08-07,33,27
2022-08-14,33,27
2022-08-21,30,27
2022-08-28,31,26
2022-09-04,29,25
2022-09-11,31,27
2022-09-18,33,28
2022-09-25,34,27
2022-10-02,34,27
2022-10-09,31,26
2022-10-16,38,26
2022-10-23,34,25
2022-10-30,29,27
2022-11-06,30,29
2022-11-13,30,32
2022-11-20,28,30
2022-11-27,31,29
2022-12-04,32,27
2022-12-11,33,29
2022-12-18,36,29
2022-12-25,38,28
2023-01-01,37,29
2023-01-08,40,28
2023-01-15,38,28
2023-01-22,43,28
2023-01-29,41,27
2023-02-05,43,26
2023-02-12,43,25
2023-02-19,49,28
2023-02-26,45,29
2023-03-05,48,30
2023-03-12,46,29
2023-03-19,50,29
2023-03-26,50,29
2023-04-02,53,30
2023-04-09,55,29
2023-04-16,53,30
2023-04-23,53,29
2023-04-30,57,31
2023-05-07,47,26
2023-05-14,54,29
2023-05-21,50,30
2023-05-28,54,31
2023-06-04,61,32
2023-06-11,61,32
2023-06-18,62,36
2023-06-25,59,32
2023-07-02,62,34
2023-07-09,57,31
2023-07-16,57,33
2023-07-23,57,31
2023-07-30,61,32
2023-08-06,69,31
2023-08-13,75,31
2023-08-20,76,29
2023-08-27,80,29
2023-09-03,69,28
2023-09-10,66,27
2023-09-17,71,29
2023-09-24,66,28
2023-10-01,77,31
2023-10-08,82,33
2023-10-15,80,30
2023-10-22,78,30
2023-10-29,72,30
2023-11-05,100,31
2023-11-12,74,32
2023-11-19,63,35
2023-11-26,69,37
2023-12-03,65,37
2023-12-10,65,38
2023-12-17,66,33
2023-12-24,64,33
2023-12-31,61,34
2024-01-07,65,34
2024-01-14,61,32
2024-01-21,59,31
2024-01-28,55,30
2024-02-04,56,30
2024-02-11,57,27
2024-02-18,56,28
2024-02-25,58,29
2024-03-03,65,29
2024-03-10,63,30
2024-03-17,71,32
2024-03-24,72,34
2024-03-31,74,33
2024-04-07,77,35
2024-04-14,61,31
2024-04-21,61,30
2024-04-28,63,34
2024-05-05,56,30
2024-05-12,58,30
2024-05-19,59,31
2024-05-26,62,34
