Category: Shopping

Week,Oversized T-Shirt + Oversized Tshirt + Oversized Tshirt + Oversized tshirt + oversized tshirt: (India),Coord Sets + Co-Ord Sets + Coord Set + Co-Ord Set + Co-ord-set + Co-Ord-Sets + Coord-sets: (India)
2020-12-27,4,0
2021-01-03,0,0
2021-01-10,4,0
2021-01-17,0,4
2021-01-24,5,4
2021-01-31,4,4
2021-02-07,4,0
2021-02-14,4,0
2021-02-21,5,0
2021-02-28,7,0
2021-03-07,4,4
2021-03-14,7,0
2021-03-21,6,0
2021-03-28,8,0
2021-04-04,9,4
2021-04-11,6,0
2021-04-18,4,0
2021-04-25,10,0
2021-05-02,9,0
2021-05-09,12,0
2021-05-16,10,0
2021-05-23,9,0
2021-05-30,10,0
2021-06-06,11,4
2021-06-13,6,0
2021-06-20,11,0
2021-06-27,12,0
2021-07-04,12,0
2021-07-11,9,5
2021-07-18,12,5
2021-07-25,13,4
2021-08-01,12,0
2021-08-08,12,4
2021-08-15,8,4
2021-08-22,17,0
2021-08-29,11,4
2021-09-05,10,0
2021-09-12,9,4
2021-09-19,8,0
2021-09-26,14,0
2021-10-03,11,4
2021-10-10,10,0
2021-10-17,11,0
2021-10-24,9,6
2021-10-31,8,0
2021-11-07,8,5
2021-11-14,9,6
2021-11-21,9,0
2021-11-28,7,0
2021-12-05,9,0
2021-12-12,9,5
2021-12-19,7,6
2021-12-26,6,5
2022-01-02,8,5
2022-01-09,5,0
2022-01-16,7,5
2022-01-23,7,5
2022-01-30,11,5
2022-02-06,10,4
2022-02-13,16,5
2022-02-20,15,6
2022-02-27,18,7
2022-03-06,28,8
2022-03-13,33,4
2022-03-20,28,8
2022-03-27,32,4
2022-04-03,29,5
2022-04-10,32,5
2022-04-17,32,4
2022-04-24,35,5
2022-05-01,35,4
2022-05-08,35,4
2022-05-15,36,7
2022-05-22,35,5
2022-05-29,37,6
2022-06-05,45,5
2022-06-12,42,6
2022-06-19,47,9
2022-06-26,40,6
2022-07-03,38,6
2022-07-10,48,8
2022-07-17,43,9
2022-07-24,43,9
2022-07-31,43,9
2022-08-07,53,8
2022-08-14,50,10
2022-08-21,52,6
2022-08-28,52,6
2022-09-04,45,7
2022-09-11,47,10
2022-09-18,51,11
2022-09-25,47,10
2022-10-02,40,7
2022-10-09,39,11
2022-10-16,37,8
2022-10-23,30,10
2022-10-30,29,12
2022-11-06,27,11
2022-11-13,27,13
2022-11-20,25,12
2022-11-27,25,12
2022-12-04,22,11
2022-12-11,24,13
2022-12-18,25,13
2022-12-25,23,11
2023-01-01,21,8
2023-01-08,30,14
2023-01-15,28,11
2023-01-22,28,7
2023-01-29,33,11
2023-02-05,40,13
2023-02-12,41,9
2023-02-19,53,13
2023-02-26,61,11
2023-03-05,80,12
2023-03-12,71,14
2023-03-19,68,15
2023-03-26,74,17
2023-04-02,73,17
2023-04-09,84,15
2023-04-16,76,18
2023-04-23,74,17
2023-04-30,74,21
2023-05-07,73,21
2023-05-14,76,20
2023-05-21,78,19
2023-05-28,88,18
2023-06-04,91,21
2023-06-11,100,22
2023-06-18,82,21
2023-06-25,88,18
2023-07-02,90,23
2023-07-09,82,16
2023-07-16,82,16
2023-07-23,87,20
2023-07-30,92,16
2023-08-06,87,18
2023-08-13,87,17
2023-08-20,80,19
2023-08-27,86,23
2023-09-03,75,22
2023-09-10,73,17
2023-09-17,83,17
2023-09-24,66,21
2023-10-01,68,21
2023-10-08,70,20
2023-10-15,60,20
2023-10-22,54,23
2023-10-29,52,18
2023-11-05,50,23
2023-11-12,44,25
2023-11-19,38,26
2023-11-26,37,27
2023-12-03,39,28
2023-12-10,40,27
2023-12-17,39,27
2023-12-24,44,25
2023-12-31,36,25
2024-01-07,40,28
2024-01-14,35,23
2024-01-21,38,26
2024-01-28,45,22
2024-02-04,47,20
2024-02-11,54,20
2024-02-18,48,18
2024-02-25,63,24
2024-03-03,68,22
2024-03-10,73,24
2024-03-17,72,23
2024-03-24,81,30
2024-03-31,81,28
2024-04-07,85,26
2024-04-14,80,24
2024-04-21,65,28
2024-04-28,83,29
2024-05-05,80,27
2024-05-12,72,23
2024-05-19,76,26
2024-05-26,77,31
2024-06-02,74,30
2024-06-09,70,23
2024-06-16,73,29
2024-06-23,58,25
2024-06-30,69,29
2024-07-07,72,27
2024-07-14,64,28
2024-07-21,69,25
2024-07-28,73,29
2024-08-04,76,29
2024-08-11,69,33
2024-08-18,70,26
2024-08-25,72,25
2024-09-01,72,28
2024-09-08,67,29
2024-09-15,63,31
2024-09-22,61,26
2024-09-29,72,31
2024-10-06,56,24
2024-10-13,49,27
2024-10-20,54,32
2024-10-27,56,32
2024-11-03,46,33
2024-11-10,52,37
2024-11-17,43,36
2024-11-24,36,31
2024-12-01,34,41
2024-12-08,42,37
2024-12-15,40,39
2024-12-22,37,38
2024-12-29,38,34
2025-01-05,45,31
2025-01-12,49,29
2025-01-19,41,32
2025-01-26,42,31
2025-02-02,46,29
2025-02-09,54,26
2025-02-16,65,27
2025-02-23,71,32
2025-03-02,75,35
2025-03-09,84,34
2025-03-16,93,36
2025-03-23,84,32
2025-03-30,80,43
2025-04-06,80,44
2025-04-13,78,44
2025-04-20,79,39
2025-04-27,84,44
2025-05-04,78,40
2025-05-11,82,40
2025-05-18,74,41
2025-05-25,75,39
2025-06-01,75,40
2025-06-08,80,37
2025-06-15,72,34
2025-06-22,71,39
2025-06-29,72,40
2025-07-06,84,40
2025-07-13,61,41
2025-07-20,70,38
2025-07-27,67,37
2025-08-03,70,44
2025-08-10,74,42
2025-08-17,67,35
2025-08-24,71,35
2025-08-31,68,34
2025-09-07,56,34
2025-09-14,61,31
2025-09-21,60,43
2025-09-28,63,36
2025-10-05,61,38
2025-10-12,59,41
2025-10-19,53,35
2025-10-26,50,43
2025-11-02,49,42
2025-11-09,48,56
2025-11-16,38,50
2025-11-23,43,49
2025-11-30,41,48
2025-12-07,34,48
2025-12-14,37,47
2025-12-21,38,43
2025-12-28,28,36
